# timestamp_format: EPOCH_MILLIS
# Created at: Mon Mar  9 21:09:34 2026
 
received_at,protocol,source,msg_type,raw_data
1773086975651,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200935.64,A,4004.4362,N,01500.8354,E,2.2,74.2,090326,2.5,W*70<0D><0A>"
1773086975651,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200935.64,4004.4362,N,01500.8354,E,1,10,1.9,10.0,M,0.0,M,,*66<0D><0A>"
1773086975651,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,15,30,12,21,28,23,9,4,8,27,,,1.7,1.3,1.8*03<0D><0A>"
1773086975651,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,1,10,15,61,13,23,30,87,3,42,12,62,271,32,21,81,312,49*46<0D><0A>"
1773086975652,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,2,10,28,61,111,40,23,90,315,31,9,51,241,21,4,83,177,21*78<0D><0A>"
1773086975652,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,3,10,8,62,63,41,27,45,42,39*4C<0D><0A>"
1773086975652,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,74.2,T,76.7,M,2.2,N,4.0,K,A*20<0D><0A>"
1773086975652,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,74.2,,,2.5,W*06<0D><0A>"
1773086975652,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,74.2,T,76.7,M,2.2,N,4.0,K*56<0D><0A>"
1773086975652,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086975652,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,172.0,R,11.4,N,A*13<0D><0A>"
1773086975652,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,172.0,R,11.4,N,A*13<0D><0A>"
1773086976653,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200936.65,A,4004.4364,N,01500.8361,E,2.1,75.5,090326,2.5,W*77<0D><0A>"
1773086976654,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200936.65,4004.4364,N,01500.8361,E,1,06,1.8,10.0,M,0.0,M,,*62<0D><0A>"
1773086976654,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,1,21,16,11,19,7,,,,,,,1.9,1.9,1.9*30<0D><0A>"
1773086976654,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,1,6,1,20,248,47,21,21,169,42,16,66,122,37,11,59,211,25*71<0D><0A>"
1773086976654,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,2,2,6,19,38,127,28,7,62,85,36*49<0D><0A>"
1773086976654,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,75.5,T,78.0,M,2.1,N,3.8,K,A*23<0D><0A>"
1773086976654,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,75.5,,,2.5,W*00<0D><0A>"
1773086976655,NMEA0183,UDP:localhost:10110,VHALL,"$VHW,75.5,T,78.0,M,2.1,N,3.8,K*55<0D><0A>"
1773086976655,NMEA0183,UDP:localhost:10110,MTALL,"$MTW,18.1,C*1B<0D><0A>"
1773086976655,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,132.3,R,14.4,N,A*11<0D><0A>"
1773086976655,NMEA0183,UDP:localhost:10110,WIALL,"$WIMWV,132.3,R,14.4,N,A*11<0D><0A>"
1773086977654,NMEA0183,UDP:localhost:10110,GPALL,"$GPRMC,200937.65,A,4004.4365,N,01500.8369,E,2.0,74.2,090326,2.5,W*78<0D><0A>"
1773086977654,NMEA0183,UDP:localhost:10110,GPALL,"$GPGGA,200937.65,4004.4365,N,01500.8369,E,1,11,1.0,10.0,M,0.0,M,,*64<0D><0A>"
1773086977654,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSA,A,3,27,13,10,18,8,15,17,2,19,32,3,,1.2,1.7,1.2*09<0D><0A>"
1773086977655,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,1,11,27,35,238,32,13,4,61,28,10,42,222,47,18,4,59,41*79<0D><0A>"
1773086977655,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,2,11,8,4,299,49,15,8,91,37,17,56,324,37,2,39,339,38*45<0D><0A>"
1773086977655,NMEA0183,UDP:localhost:10110,GPALL,"$GPGSV,3,3,11,19,13,290,20,32,87,86,27,3,31,261,31*49<0D><0A>"
1773086977655,NMEA0183,UDP:localhost:10110,GPALL,"$GPVTG,74.2,T,76.7,M,2.0,N,3.7,K,A*22<0D><0A>"
1773086977655,NMEA0183,UDP:localhost:10110,IIALL,"$IIHDG,74.2,,,2.5,W*06<0D><0A>"
